genre,review
 comedy ," Les doesn't have a driving license yet, but to impress his gorgeous date Mercedes he borrows his grandpa's Cadillac for a night out... and has to witness the poor car going through more and more intense maltreatments. The sixteen year-old Les Anderson has a crush on his schoolmate Mercedes Lane, but he is shy and she has a boyfriend, Paolo, who has a fancy car. Les and his twin sister Natalie Anderson are preparing to the driving test and while Natalie studies the questions, he does not pay attention to them. Les fails the test but is not brave enough to tell neither to his father Mr. Anderson nor to his pregnant mother Mrs. Andersonand his best friends Dean and the clumsy Charles. When Mercedes has an argument with Paolo, she invites Les to date her to make Paolo jealous. Meanwhile Les' parents discover that he has flunked his driver's test and they ground him. However, when Mercedes calls him asking if they are not going to date, Les sneaks away from his house and drives his grandfather's Cadillac that is parked in the garage to date Mercedes in the beginning of a nightmarish night of adventures. Les Anderson (Corey Haim) is about to take his driving test. He has a few things planned, based on the presumption that he will pass. Not least is a date with the girl of his dreams, Mercedes Lane (Heather Graham). Then he fails, and his plans are shattered. He doesn't tell anyone that he has failed though and goes ahead with the date with Mercedes. Key to his night out is taking his grandfather's prized 16-year old low-mileage Cadillac, left in the care of his father. The car, and his attempts to keep it unharmed, are the source of many adventures that night. However, his friend, Dean (Corey Feldman), is the number 1 source, egging him on. Les is a teenager attempting to learn how to drive, as well as catch the eye of a popular girl. He is able to secure a date with the girl, Mercedes, and it is assumed he will drive. But, he doesn't have his license yet. When it comes time for his driving test, he fails. He doesn't want to risk the chance at going out with Mercedes, so he decides to go anyway. Not only does he disobey his parents by going in the first place, but he takes his grandfather's prized possession - his Cadillac. Will he get through the night without wrecking the car, and get away with sneaking out, or will his plan collapse? 'An innocent girl. A harmless drive. What could possibly go wrong?' For sixteen year old Les Anderson, plenty can go wrong when you have a night like his. He's an adolescent American with dreams of getting his hands on his first driver's license, so he can hit the town cruising with his friends Dean and Charles, but ultimately to impress the girl of his dreams, Mercedes Lane. Unfortunately for Les, his worst nightmare hits home hard when he fails his driving exam and his parents put him on probation for trying to hide the truth, so now his chances of being able to drive are squashed badly. However, Mercedes, who has just broken up with her old boyfriend who's a rich snob, is bored and wants to keep the date that she promised with Les and the youngster's heart skips a beat when she calls him up asking to go out for a night on the town. Les knows he's risking big-time punishment, but he decides that if he's gonna go down, he may as well have some fun with the girl of his dreams. When he takes his grandfather's prized Cadillac on his date with Mercedes, hilarity ensues with him, his friends Dean and Charles and his drunken date as they do all they can to get the Caddy home in one piece as comical disaster roars down the fast lane."
 comedy ," In his first stand up special, Tom Clark (Conan, Comedy Central) makes fun of comedy specials, himself, drunks, marriage, gangs, TSA, rescue animals, hecklers, elevators, beach balls, cosmetic companies, classic rock, handshakes, love and a guy named Sleepy Joe."
 comedy ," A sketch comedy series finding humor in the stranger corners of suburbia: in the couple whose communication breakdown leads to a kidnap; in the artist who loses everything over his obsession with fart sounds; in the mum who struggles to accept her missing teen back into the family, mainly because he returns with a full beard and a foreign accent"
 comedy ," Tommy fakes his way through the science project with an empty mayonnaise jar by claiming he invented a new, odorless, tasteless, consciousness-raising gas. Naturally, the uptight teacher, principal, local police and paranoid parents misinterpret his ruse and a wave of mass hysteria through word-of-mouth and social media sweeps through the entire town."
 comedy ," Irene, a young girl from a small town, arrives in New York City determined to make it on the Broadway stage. She meets up with Cookie, a worldly chorus girl who takes Irene under her wing. When Irene falls for young Ronald, his rival Crane sets out to break up the pair so he can have Irene for his own--and he doesn't much care how he does it."
 comedy ," A suburban neighborhood is invaded by a team of evil scientists from the future, led by the sinister Dr. Osiris London. They kidnap the most suitable resident, Chris Kowan, and force him to undergo their illegal experiments which endow Chris with some very strange powers. He manages to escape with the help of a dissenting intern but loses his memory of the incident. Can Chris gain control of his new abilities in time to save the girl and the world at the same time?"
 comedy ," Georg, the head of an advertising company, finds Kim living in a wooden house surrounded by bogs and woods. Kim is hired to ride through Munich on his horse, poses with models outside the Feldherrnhalle. He is featured in a film an is extensively covered by the newspapers. A nun fleeing through the woods to escape from the roaring Kim, lands in a bog and is only rescued by Kim and his team after Georg has saved the rescue on film. The rescue is first glorified on a record, the record is a best-seller and Kim becomes a star..."
 comedy ," Former lawyer Bobby Myers recounts his first foray in the Canadian movie business circa 1979, when the then burgeoning Canadian movie industry was going through some growing pains. He wanted his first project as producer to be told by Canadians about issues close to the Canadian heart. As such, he acquired the rights to Lantern Moon, a beloved Canadian novel written by Lindsay May Marshall. He quickly realized that producing a movie in Canada, especially in acquiring financing, required much compromise, most specifically casting a big name Hollywood star in the leading role. The star he signs, Michael Baytes, comes with much baggage. Those compromises lead to many problems between the Canadian vision and the want by some to make the movie more ""American"", especially by ultra-patriotic and paranoid Baytes. Through it all, filmmaker Sandy Ryan films it all, good and bad, for a ""making of"" documentary. But Sandy has her own agenda as she concurrently films her own lower budget movie called Human Voices. A producer buys the film rights of a famous Canadian novel known as ""Latern Moon"" and plans the production, but everything doesn't go according to plan when Hollywood gets involved and the documentary filmmaker catches the whole debacle of film."
 comedy ," The one-hour pilot ""Geezers"" celebrates family values rediscovered by four retired men from vastly different cultures and backgrounds, who are united in their fear of growing old alone and the identity crises triggered by retirement. This drama-comedy reveals in flashbacks how the four men meet and end up forming their new ""family unit."" Through laughter and tears the four geezers face estrangement issues with their real families, while grappling with aging problems of health, mortality and loss of sexual prowess. Embracing both a homeless, runaway teenager, who has escaped an abusive family situation, and a young neighbor, rich in material possessions but poor in family support and love, this unusual household learns lessons in forgiveness and acceptance that help them start the healing processes in their own lives. This video emphasizes the need all of us have for love, acceptance and understanding. ""Geezers"" presents, in a compassionate, humorous depiction, how unrelated individuals from all walks of life can find the support and love of a family in the most unexpected places. As today's families are increasingly described as ""dysfunctional"" and are frequently separated by miles and disagreements, this story illustrates that blood relationships are not a necessary ingredient for a loving family."
 comedy ," Veteran New York City comic Dave Attell is back with his Comedy Central stand-up special ""Road Work."" This unique special cuts together multiple performances from Attell's past tour. From New Orleans to Philadelphia to Minneapolis and more, ""Road Work"" feels more like a concert film than a traditional stand-up special. Of course, it wouldn't be a proper Attell show without his expert crowd work and clever R-rated material in what he calls ""a filthy, dirty mess of a show."""
 comedy ," John Cooper is in a retirement home. There are strict rules for the residents, but he refuses to fall into passivity. He flirts constantly with Nurse Wilson and spends time with his best buddy Michael Aylott, who's slowly drifting into senility. The movie portrays the fight for independence and dignity in old age. The resident of a nursing home, John Cooper is frustrated by his strictly ordered surroundings. Even though his body is in decline, John remains mentally keen, while his close friend, Michael Aylott, has the opposite issues -- he is in fairly good health, but becoming progressively more senile. As John and Michael attempt to keep some level of independence and contend with their own ailments, they try their best to support each other."
 comedy ," John Dolen is a wholesome, and credulous young man who is moving to London in order to resolve his quarterlife crisis. Only today, John has learned that a certain married woman may be pregnant with his child. Thinking this may be fate, he calls upon the assistance of his two steadfast roommates; Paul, a reformed womanizer who yearns for true love but cannot overcome his fear of commitment, and Rob, a pot-smoking entrepreneurial slob who has devoted his life to revealing the atrocities set forth by corporate manipulation, and more importantly, to safeguard the existence of one very special couch. Time, and youth are of the essence as this unsettled trio must move out of their apartment while confronting their afflictions with love, lust, pregnancy, couches, wiffleball, ex-mobsters, corporate propaganda, four year theories, gazelles, transsexuals, metrosexuals, a shoddy landlord, the universal diner, and... a Monte Cristo."
 comedy ," Widow Abby Abbott is having serious money problems and has to dip into the family trust in order to pay for her daughter Susan's college tuition. The catch: Abby must also become a co-ed or she can't touch the money. After passing her entrance exams, Abby goes to college and becomes very popular, especially with a handsome English professor whom Susan has a crush on."
 comedy ," Il barone FifÄ› ha bisogno di un erede per avere l'ereditÅ• paterna. Ma con le prime due mogli ha avuto poco successo per il loro tradimento. E' stato costretto ad ottenere il ""divorzio alla siciliana"" con l'aiuto dell'onorata societÅ•. Per questo Ä stato anche processato, ma anche assolto perchÄ, come dicono tutti i testimoni ""disgrazia fu"". Decide allora di cercare una moglie sul continente, a Roma. E qua, con l'aiuto di Nando, trova Marisa la giaguara che lavora in un night club e la sposa. Ma Marisa Ä molto bella, troppo, e a lei si interessano Don CalÅˆ, Turiddu e altri e il ""divorzio alla siciliana"" Ä facile da ottenere in Sicilia..."
 comedy ," Lesha and Alena're planing their wedding. Everything is going to be OK, but Lesha and famous journalist Ira s' knowledge changes everything. Her image doesn't fit into the framework of Lesha's casual life. Ira introduces chaos in his life, and AlenaÃ¢EUR""a naive girl, loves him the way he is and badly wants to be his wife. Ira's adventurism and her willingness to commit insane acts gets Lesha understand that his life could be much more colorful. But is he ready for an adventurous actions while there's at stake happy future with Alena?"
 comedy ," Bad boy movie star Derrick Stone books himself as an extra as a prank. When he arrives on set, no one recognizes him as Derrick Stone, they just think he looks like Derrick Stone. Finding new friends and a love interest in Mary, the wardrobe assistant, he begins living a double identity as Derrick and Joe, the extra. Events collide and comedy ensues as Derrick's stardom is put at risk, and Derrick is put to the test as Joe, begins to take over his life."
 comedy ," Jerry tries to seduce his girlfriend Monica via hypnosis, but it accidentally makes her want to enter a convent and take a vow of chastity instead. Jerry tries to get her out by disguising himself to a priest and later as a nun. Alas, his rescue attempt crosses paths with a mobster who looks for his hidden stolen diamonds in the convent. Things get even more complicated when the pope himself decides to pay a surprise visit."
 comedy ," In Napoli, Nicolino Capece, a truthful pharmacist clerk becomes erroneously recognized as a dangerous Spanish criminal and decides to escape to Spain. In Siviglia, he is blackmailed by the bandit Cast who wants him to marry the rich Patricia Cotten and then kill her. So Nicolino play the bull fighter and heads to the arena...."
 comedy ," Jennifer is the single mother of Jamel, an active and energetic little boy. She works hard and puts all of her energy into raising her son and expanding her catering business, leaving very little time or energy to take care of herself. Since her husband passed away, it's been just the two of them, and Jennifer often uses nannies to help out with Jamel when her schedule gets too hectic. When her regular nanny has to leave town for a family emergency, Jennifer is surprised when the agency sends Mike, a male nanny and a handsome one at that. The series starts on Mike's first day of work and follows Jennifer as she gets used to having another man in her life. Over the course of 20 episodes, Jennifer begins to realize that Mike may not only be the perfect nanny, he might just be the perfect man. Jennifer is a single mother who works hard and puts all of her energy into raising her son and expanding her catering business, leaving very little time or energy to take care of herself. Since her husband passed away, it's been just the two of them, and Jennifer often uses nannies to help out with Jamel when her schedule gets too hectic. When her regular nanny has to leave town for a family emergency, Jennifer is surprised when the agency sends Mike, a male nanny and a handsome one at that. The series starts on Mike's first day of work and follows Jennifer as she gets used to having another man in her life. Over the course of 20 episodes, Jennifer begins to realize that Mike may not only be the perfect nanny, he might just be the perfect man."
 comedy ," MY LIFE WORKED OUT, is a two-hander, comedy/parody web series surrounding the lives of JESS and AMY, two women in their late 20s who are best friends despite their polar opposite personalities. We follow their attempt to get their lives together as they sign up for the latest phase and craze to hit the LA gym scene...CLASS PASS. These are short (3-5 mins), comedy sketches in the vein of INSIDE AMY SCHUMER meets BROAD CITY. Each episode is set around a different over the top and ridiculous exercise class attended by Jess and Amy who embark on the endless pursuit of getting their lives to ""work out"" but just falling short..."
 comedy ," Deputy Bob is a story about Timmy O'Brien's journey to accept a place in his father's legacy, learning about his own identity during the process, and Professor Smith's misfortunes encountered while seeking approval from others. Intricately woven, both stories run parallel in current time and through remembrances of the past, while taking place on separate sides of the country. The common link is Dr. O'Brien, Timmy's father as well as Smith's boss, and his noble research into a radical cure for cancer. While mainly comedic, the story is also told with dramatic and surreal moments."
 comedy ," Three heavy boozers - a Romanian (Horatiu Malaele), a Russian (Igor Caras-Romanov) and a Bulgarian (Mihai Gruia Sandu) - are tripling away their... happiness, into vodka, at ""The Happy Immigrant"", a joint kept by a Turk. The fauna of this venue is made up out of the Babel Tower's survivors: immigrants who had chosen Romania, as a country where everything is possible. The predictions included... A police raid chases away the pub's barflies. The three professional boozers stop from running just in front of a fortune teller expert in a niche field: death prediction. The rest is entertainment! Although we are all indebted to one death, some refuse to pay this debt. They don't want to die when it was written for them. Or just predicted..."
 comedy ," Cassandra French is a 22-year-old overachiever who gets her dream job at a Hollywood studio but can't find a guy ready for a mature relationship. After the latest disappointment, she locks the guy up in her basement and trains him to become the perfect gentleman."
 comedy ," In a small village in the heart of Catalonia, advantage is made of the holiday visit of an ecclesiastical authority to organize a series of talks on the subject of religion and sex in the present day. This splits the village into two warring sides, those for and those against the Congress, and it is only after a tense series of negotiations between the two sides that a consensus is reached. An array of local characters lead the story to its happy ending through a series of comical and satirical situations."
 comedy , A common man who happens to look like Osama Bin Laden is noticed by a man from the American Government and plans to film the capture of Bin Laden. A film director (Manish Paul) helps making the Bin Laden film but their film making is encountered to many problems including the man playing Bin Laden being a complete lunatic. Will the government of the United States be able to show the world how they really caught the man himself?
 comedy ," Beef Baloney is a comedy variety show for the Midwest United States. The artsy format is very edgy as its demographic is very broad. This show maintains its fun, high-energy, fast cut style and absurd content for the entire half hour. Beef Baloney is in and out before you know it, leaving its audience thirsting the next episode."
 comedy ," HELLO EVERYBODY. Now then as some of you might know, I was made to go off round the country this year and do a show to loads of people. I went everywhere, up north, down south and I even had to go to Scotland. If I'd have had my way I wouldn't have gone, I'd have stayed at home with my feet up watching Dragons Den with a box of Magnums. So in the end what happened was, I got to this one place in Digbeth, and they've got a load of video cameras there and they say right we're gonna film this. So they did and this is what you've got, the video of it, so have a look at it and see what you think."
 comedy ," To save their home from foreclosure, two TV producers (Oscar and Brett) bet on races, plan a robbery, and consult with the mob. Framed through a behind the scenes look at community television, eight film school grads, a small time mob boss, and a full-time Muppet desperately try to save their home and their way of life by making ""TV: the Movie"". Fusing documentary footage with fictional scenes, ""TV: the Movie"" invites its viewers on a deconstructive journey through reality and illusion."
 comedy ," Chestnut Records was sitting pretty when 2012 rolled around. Their main artist - Danny Alamo - was fresh from the Betty Ford Clinic and ready to begin his sold-out national tour, ""Danny From The Rock"". However, during sound check on the opening night of the tour in Sydney, he disappeared. It would be 6 weeks before he re-emerged back at the label office's front doors, just as drug and alcohol-affected as before. As a result, the label suffered heavily, both financially and reputably with some of their signed artists moving on to other labels. As Danny was now indisputably unemployable, along with the fact he was the only remaining successful and well-known artist signed with Chestnut, it was decided that he would be kept on and given a second chance, a decision which could breathe new life into the label, or completely destroy it forever. The Chestnut Records Series details the day-to-day happenings of the various characters which make up the label, their relationships, their conflicts, their unified goal of making Chestnut the label it needs to be, and making Danny the artist he needs to be. Chestnut Records is set in Sydney, Australia."
 comedy ," A sly look at the performance poetry slam With Intent based at The Marquee CafÃ© in Soho. With its irreverent performances and Mad Hatter's tea party pieces of free jazz, beat poetry, comedy and performance art this film casts a light on a regular night of the underground performance circuit in London."
 comedy ," Millions of Internet fans have already discovered Liv Films' hilarious brand of sketch comedy, in which everything from Fad Diets to Sex Tapes to Gay Marriage are given a uniquely irreverent, twist. 27 sketches, including ""uncensored"" bonus footage, new, never-before-seen material, The Best of Liv Films promises to take comedy to new highs... and lows. This DVD will have you laughing your ass off!"
 comedy ," A ""This is Spinal Tap"" for the world of film schools, this mockumentary follows the careers of 7 film school students from their first day of film class at UNY (whose graduates work ""here to Kentucky."")until one is chosen as the winner of the school's Filmic Achievement Award. We meet Delvo Christian, who desperately wishes hew were French and has 400.000 feet of undeveloped film 'gestating"" in grocery bags in his apartment. In his mother's basement we meet Mike Pack who worships Quentin Tarantino but whose mother may be the real director in the family. Those are just 2 of the students overseen by by faculty like Buck Felty, who becomes a little too excited by his students' film pitches, and Selway Cascade who insists that she left her ego back in her apartment and who listens to student input because, well, she is obligated to. The stereotypes are drawn broadly and the situations are absurd yet the characters and script are [frighteningly] believable. WORLD PREMIERE 29th Annual Cleveland International Film Festival."
 comedy ," Whitney loves making slime! So, it's time to see what ""oobleck"" is all about. Combining cornstarch with water is all you need to make oobleck, and some food coloring is you feel like getting crazy. Seems there is a primal need to punch the stuff."
 comedy ," Stu and Rupert like to get high and go to the gym to watch the ladies. But Stu's stoner existence is interrupted when he loses his job and is evicted from his apartment by his Irish mobster landlord. A sexy woman at the gym overhears his problem and takes him in, only he must be 'totally hers'. When Stu discovers she's a cop, things start to get complicated. To make matters worse, Crazy Daisy shows up pregnant with twins claiming he's the daddy. Stu needs all the help he can get from his friends, and an oddball shrink, to set things back in order."
 comedy , The bricklayer Loffe often sees sculptress Ingrid in a window a cross the building. They get to now each other and soon fall in love. Loffe works for the master-builder Swahne who is Ingrid's uncle. Swahne comes up with a plan to see if Loffe's feelings for her are true or if he is just out for her money.
 comedy ," It's the news as only TBS would do it... very funny. Very Funny News covers everything hip, hot and happening in the world of comedy. Each week, our irreverent newscast takes viewers for a riotous romp stampeding through the headlines and newsmakers making people laugh. Our crack news team is on the scene, serving up the latest news from sitcom sets and the box-office to the comedy circuit and the internet. If it's ""very funny"", Very Funny News has it covered from coast to coast."
 comedy ," Accustomed to the heat of the sauna, four dead Finns enjoy their days in Hell so much that they are sent on a temporary leave back to Earth. Blessed with a specific ban on doing any honest work while down there, yet cursed with an inability to enjoy alcohol any longer, the quartet lands in modern-day Finland with a briefcase full of cash. Of course, in only a matter of minutes the guys misplace the briefcase, and after that they are pretty much on their own. However, you can't blame them for running out of ideas too quickly."
 comedy ," Mr. Mosterpot regards grocery as the most important thing in the world and running his shop in a popular area of Brussels is the most fulfilling experience he can imagine. For the future, has no other desire than to marry his son Simon to a merchant girl and let the young couple succeed him. Alas, it is sport not grocery the young man swears by. Worse, he has only eyes for sweet Simone, who has nothing to do with trade. Naturally, Mr. Masterpot WILL NOT allow such a misalliance! Quite unlike Major Henrard, Simon's godfather, and Betty, his aunt and owner of the shop, who both support the young lovers.To help them to live their love despite Mr. Mosterpot's refusal, they set up a ""diabolical ""scheme..."
 comedy ," ""80 voglia di te"" (I want you so much) is the story of a psychologist in a marital crisis who, except for his work and phobias of various patients, is dedicated to his family, two sons (struggling with first loves and school problems) and his father, grandpa Frederick. One day a new patient comes in to his office. Little does he know that this new patient is actually his wife's lover."
 comedy ," Likeable country postman Harold Petts gets transferred from his village to London, where on his arrival he unwittingly foils a mail train robbery. Innocent in the ways of the big city, he is thought to be a member of another gang by both the train robbers and the police, who all suspect him of trying to rob the post office where he works. Petts however gains notoriety in the post office by his ability to outperform the new mechanization which the sorting office has recently installed. Harold becomes a hero when he thwarts the robbers once more when they attempt to steal a mail-bag containing used bank notes which are being returned for destruction. As his reward, Harold gets promoted back to his home village as Postmaster."
 comedy ," Goth superstar Aurelio Voltaire is VERUM and original gangsta rapper Schoolly D is THE PRESIDENT in this cult camp catastrophe. In this send up of the horror genre, a beautiful aristocrat (Amanda Flowers) is resurrected by mad doctor ORBERT WESCRAFT (Jurgen Azazel Munster) at the request of her obsessed husband (Rock N Roll legend Alan Merrill). When she rebels against the Doctor and joins a cult of the undead, it's pandemonium as the sinister creatures resurrect a giant monster to destroy all mortals. Will two wacky journalists (Yolpie Kaiser, Mickala McFarlane) a mad teenage girl bent on revenge (Sofe Cote) and a perma tripping boy genius (Max Husten) be able to save the world in time?"
 comedy ," Ira is a nervous playwright waiting and hoping to succeed with his art, which he takes it very seriously. But following his dreams and ambitions isn't something easy to do, specially when he has to consider the points of view his family, his artist friends and his girlfriend will provide to him whenever he exposes his incomprehensible works of art."
 comedy , A comedy centered on a guy who inherits a windfall with one string attached: he must spend the entire sum of a previous inheritance within a year without accruing any assets from the spending spree.
 comedy ," Dr. Arbutus Budd is a New York physician specializing in ""beauty"". His business is successful but he is still plagued by money problems. One day he gets an idea--he obtains the coat-of-arms of a long-forgotten Italian noble family, the Bolognias, and uses it as his logo on his line of beauty products. As luck would have it, the crest is recognized in Italy, and before long an emissary is sent to the US to bring back ""The Baron"". Budd is overjoyed, as he believes that he is about to inherit the Bolognia family fortune. However, it turns out that all he inherits is something he wasn't counting on--a blood feud with a local bandit."
 comedy ," The Hostile Takeover is a tale of how an average pizza delivery guy named Jay gets caught in the middle of the largest territorial war in the city's history. As Jay avoids being killed by both sides in this brutal war, he also must prove his innocence to a trigger happy detective who believes he is the catalyst to it all."
 comedy ," 'Scenes From a Not-So-Future Dystopia' is an anthology sketch series that takes a surreal look at potential worlds we could find ourselves in if current events continue on the present trajectory. Part dystopian novel, part political satire, and full millennial nightmare, 'Scenes From a Not-So-Future Dystopia' tackles the realities of the State of our Nation with humor."
